Year,Type,NbMedailles
1896,Summer,11
1900,Summer,235
1904,Summer,2
1906,Summer,64
1908,Summer,40
1912,Summer,26
1920,Summer,141
1924,Summer,110
1924,Winter,10
1928,Summer,50
1928,Winter,2
1932,Summer,40
1932,Winter,2
1936,Summer,44
1936,Winter,1
1948,Summer,72
1948,Winter,5
1952,Summer,40
1952,Winter,1
1956,Summer,33
1960,Summer,12
1960,Winter,3
1964,Summer,31
1964,Winter,7
1968,Summer,27
1968,Winter,9
1972,Summer,22
1972,Winter,3
1976,Summer,20
1976,Winter,1
1980,Summer,29
1980,Winter,1
1984,Summer,67
1984,Winter,3
1988,Summer,29
1988,Winter,2
1992,Summer,57
1992,Winter,12
1994,Winter,11
1996,Summer,51
1998,Winter,15
2000,Summer,66
2002,Winter,15
2004,Summer,53
2006,Winter,15
2008,Summer,77
2010,Winter,14
2012,Summer,82
2014,Winter,18
2016,Summer,96
